학교명,링크,결과,
성결대학교,http://www.sungkyul.ac.kr/,Error: ConnectTimeout,ERROR
성공회대학교,http://www.skhu.ac.kr/,OK,
성균관대학교,https://apply.jinhakapply.com/Notice/1092045/A,OK,
성신여자대학교,http://www.sungshin.ac.kr/,OK,
세명대학교,http://www.semyung.ac.kr/,OK,
세종대학교,http://www.sejong.ac.kr/,OK,
세한대학교,https://apply.sehan.ac.kr/apply/,OK,
송원대학교,http://www.songwon.ac.kr/,OK,
수원대학교,http://www.suwon.ac.kr,OK,
숙명여자대학교,http://www.sookmyung.ac.kr/,OK,
순천향대학교,https://www.sch.ac.kr,OK,
숭실대학교,https://apply.jinhakapply.com/Notice/1101066/A,OK,
신경주대학교,http://www.gyeongju.ac.kr,OK,
신라대학교,http://www.silla.ac.kr,OK,
신한대학교,http://ipsi.shinhan.ac.kr/,Error: ConnectTimeout,ERROR
아신대학교,http://www.acts.ac.kr,OK,
아주대학교,http://www.ajou.ac.kr,OK,
안양대학교,http://www.anyang.ac.kr,OK,
연세대학교(미래),https://admission.yonsei.ac.kr/mirae/admission/html/main/main.asp,OK,
연세대학교(서울),https://apply.jinhakapply.com/Notice/1108067/A,OK,
영남대학교,http://enter.yu.ac.kr/,OK,
영산대학교,http://ipsi.ysu.ac.kr/,OK,
예수대학교,http://www.mpu.ac.kr/,OK,
예원예술대학교,https://www.yewon.ac.kr/intro.html,Error 404,ERROR
용인대학교,http://www.yongin.ac.kr,OK,
우석대학교,http://www.woosuk.ac.kr,Error: ChunkedEncodingError,x
우송대학교,https://www.wsu.ac.kr/,OK,
울산대학교,http://www.ulsan.ac.kr,OK,
원광대학교,https://www.wku.ac.kr/,OK,
위덕대학교,http://www.uu.ac.kr/,Error 400,x
유원대학교(U1대학교),https://ipsi.u1.ac.kr/html/ipsi/index.html,OK,
을지대학교,http://www.eulji.ac.kr/,Error 400,x
이화여자대학교,http://admission.ewha.ac.kr,OK,
인제대학교,http://www.inje.ac.kr,Error 400,ERROR
인천가톨릭대학교,http://www.iccu.ac.kr,Error 400,x
인천대학교,https://apply.jinhakapply.com/Notice/1123059/A,OK,
인하대학교,http://www.inha.ac.kr,OK,
장로회신학대학교,http://www.pcts.ac.kr,OK,
전남대학교,http://www.jnu.ac.kr/,OK,
전북대학교,https://www.jbnu.ac.kr/kor/,OK,
전주교육대학교,http://www.jnue.kr/,OK,
전주대학교,https://www.jj.ac.kr/,OK,
제주국제대학교,http://www.jeju.ac.kr/,OK,
제주대학교,http://www.cheju.ac.kr,Error: SSLError,ERROR
조선대학교,http://ibhak.chosun.ac.kr/,OK,
중부대학교,https://www.joongbu.ac.kr/,OK,
중앙대학교,http://www.cau.ac.kr,OK,
중원대학교,http://www.jwu.ac.kr/,OK,
진주교육대학교,http://www.cue.ac.kr,OK,
차 의과학대학교,http://www.cha.ac.kr,OK,
창신대학교,https://apply.jinhakapply.com/Notice/4143035/A,OK,
청운대학교,http://www.chungwoon.ac.kr,OK,
청주교육대학교,https://www.cje.ac.kr/web/main.do?screenTp=USER,OK,
청주대학교,http://www.chongju.ac.kr,OK,
초당대학교,https://www.cdu.ac.kr/,OK,
총신대학교,http://www.chongshin.ac.kr,OK,
추계예술대학교,http://www.chugye.ac.kr,Error: SSLError,x
춘천교육대학교,http://www.cnue.ac.kr/cnue/index.do,Error: SSLError,x
충남대학교,http://ipsi.cnu.ac.kr/,OK,
충북대학교,http://www.chungbuk.ac.kr/site/www/main.do,OK,
칼빈대학교,http://www.calvin.ac.kr,OK,
평택대학교,https://www.ptu.ac.kr,OK,
포항공과대학교,http://www.postech.ac.kr,OK,
한경국립대학교,https://apply.jinhakapply.com/Notice/3016099/A,OK,
한국공학대학교,https://iphak.tukorea.ac.kr/main.htm,OK,
한국교원대학교,https://www.knue.ac.kr/www/index.do,OK,
한국기술교육대학교,http://www.kut.ac.kr,Error: SSLError,ERROR
한국성서대학교,http://ipsi.bible.ac.kr/,OK,
한국외국어대학교,http://www.hufs.ac.kr,OK,
한국체육대학교,http://www.knsu.ac.kr/web/ipsi/home,Error 400,ERROR
한국침례신학대학교,http://www.kbtus.ac.kr,Error: ConnectTimeout,ERROR
한국항공대학교,http://ibhak.kau.ac.kr/admission/html/main/main.asp,OK,
한남대학교,http://www.hannam.ac.kr/,OK,
한동대학교,https://admissions.handong.edu/,OK,
한라대학교(원주),http://www.halla.ac.kr,OK,
한림대학교,http://admission.hallym.ac.kr,OK,
한서대학교,http://helper.hanseo.ac.kr/,OK,
한성대학교,https://enter.hansung.ac.kr,OK,
한세대학교,http://www.hansei.ac.kr,Error: ConnectionError,x
한신대학교,http://www.hs.ac.kr,OK,ERROR
한양대학교(서울),https://go.hanyang.ac.kr/gate.do,OK,
한양대학교(ERICA),http://goerica.hanyang.ac.kr/admission/intro.asp,OK,
한일장신대학교,http://www.hanil.ac.kr,OK,
협성대학교,http://www.hyupsung.ac.kr,Error: ConnectTimeout,ERROR
호남대학교,http://enter.honam.ac.kr/,OK,
호남신학대학교,http://www.htus.ac.kr,OK,
호서대학교,http://www.hoseo.ac.kr/,OK,
호원대학교,https://www.howon.ac.kr/2018/_admission/,OK,
홍익대학교,https://www.hongik.ac.kr/kr/admission/undergraduate-admission.do,OK,
화성의과학대학교,https://www.hsmu.ac.kr/sgu_main/index.do,Error: SSLError,ERROR
수원과학대학교,https://ipsi.ssc.ac.kr/,OK,
연암공과대학교,https://enter.yc.ac.kr/,Error: SSLError,x
신구대학교,https://enter.shingu.ac.kr/,OK,
경북전문대학교,https://ipsi.kbc.ac.kr/,OK,
안산대학교,https://iphak.ansan.ac.kr/,Error 502,x
한국영상대학교,https://ipsi.pro.ac.kr/,OK,
대림대학교,https://ent.daelim.ac.kr/,OK,
경북보건대학교,https://ipsi.gch.ac.kr/,OK,
가톨릭상지대학교,http://www.csj.ac.kr,Error 400,x
강동대학교,http://www.gangdong.ac.kr/,Error: SSLError,x
강릉영동대학교,http://www.gyc.ac.kr,OK,
강원도립대학,http://www.gw.ac.kr/,OK,
거제대학교,http://www.koje.ac.kr,OK,
경기과학기술대학교,http://www.gtec.ac.kr,OK,
경기과학기술대학교 조기취업형 계약학과,https://www.gtec.ac.kr,OK,
경남도립남해대학,http://www.namhae.ac.kr,Error: ConnectTimeout,ERROR
경남정보대학교,http://www.kit.ac.kr,Error: SSLError,x
경민대학교,http://www.kyungmin.ac.kr,OK,
경복대학교,http://www.kbu.ac.kr,OK,
경북과학대학교,http://www.kbcs.ac.kr,OK,
경북보건대학교,http://www.gch.ac.kr,OK,
경북전문대학교,http://www.kbc.ac.kr/,Error: TooManyRedirects,
경인여자대학교,http://www.kiwu.ac.kr,OK,
계명문화대학교,http://www.kmcu.ac.kr/,OK,
계원예술대학교,http://www.kaywon.ac.kr,OK,
광양보건대학교,http://gy.ac.kr,OK,
광주보건대학교,http://www.ghu.ac.kr/,OK,
구미대학교,http://www.gumi.ac.kr,Error 400,x
국립한국농수산대학,http://www.af.ac.kr/,OK,
국제대학교,http://www.kookje.ac.kr,OK,
군산간호대학교,http://www.kcn.ac.kr,OK,
군장대학교,http://www.kunjang.ac.kr,OK,
